Site,Probe Model,Serial Number,Date,Time,Hole ID,Cable length (ft),Neutron Count (MD),Gamma Count (WD),Operator,Duration (s),Flag
Rivendell,503,H340702152,10/20/2010,,16,47,4182,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,48,3877,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,49,4203,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,50,4282,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,51,4231,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,52,4052,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,53,4486,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,54,4177,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,55,4367,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,56,4168,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,57,4142,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,58,4289,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,59,3995,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,60,3830,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,61,4111,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,62,4256,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,63,4160,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,64,4368,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,65,4472,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,66,4291,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,67,4196,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,68,4071,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,69,3808,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,70,3820,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,71,3924,,2,25,
Rivendell,503,H340702152,10/20/2010,,16,72,14201,,2,25,
Rivendell,503,H340702152,10/20/2010,,5,2,5591,,2,25,
Rivendell,503,H340702152,10/20/2010,,5,3,5186,,2,25,
Rivendell,503,H340702152,10/20/2010,,5,4,5291,,2,25,
Rivendell,503,H340702152,10/20/2010,,5,5,5018,,2,25,
Rivendell,503,H340702152,10/20/2010,,5,6,5803,,2,25,
Rivendell,503,H340702152,10/20/2010,,5,7,5427,,2,25,
Rivendell,503,H340702152,10/20/2010,,5,8,5981,,2,25,
